Area,Feature ID,Feature Name,User Story,Expected Behavior,Status,Source Files,Test Coverage,Test Run Status,Notes
Identity,IDN-005,Serializer identity wrappers,"As a developer, I want thin serializer-side aliases for identity helpers.","to_urn, endpoint_from_urn, and drf_endpoint are thin wrappers around identity.urn, rest_endpoint_from_urn, and identity.endpoint respectively.",Implemented + Tested,"apibase/serializers.py, apibase/identity.py, apibase/urn.py",tests/test_identity_characterization.py,Pass,
URN,URN-001,model_urn generation,"As an API consumer, I want every model instance to be addressable by a stable URN so that I can reference resources across services.","model_urn(instance) returns 'urn:{nid}:{nss}:{app_label}:{model_name}:{pk}'. If the instance lacks _meta, returns empty string. Settings URN_NID and URN_NSS can be overridden per call.",Implemented,apibase/urn.py,tests/test_urn.py,Pass,
URN,URN-002,parse_urn parsing and validation,"As a developer, I want to parse a URN and verify its namespace before resolving it.","parse_urn splits a colon-separated URN into nid, nss, app_label, model_name, and others. Returns None if the parsed nid does not match the expected nid. NOTE: the prefix argument is shadowed by a tuple unpack, so prefix validation is currently a no-op.",Implemented,apibase/urn.py,tests/test_urn.py,Pass,Latent bug FIXED 2026-06-24: prefix is now validated (was self-compared/shadowed). Regression tests in tests/test_urn.py.
URN,URN-003,rest_endpoint_from_urn resolution,"As an API consumer, I want to convert a URN back into a REST URL so that I can navigate from a GraphQL/URN reference to a DRF endpoint.",Builds '{scheme}://{service}{domain}{prefix}/{app_label}/{model_name}/{others...}'. Domain resolution order: explicit argument -> APIBASE['DOMAIN'] -> current site domain (last two labels). Returns None on parse failure. nss='self' omits the service subdomain. HOST setting is not used.,Implemented,apibase/urn.py,tests/test_urn.py,Pass,
Permissions,PER-001,Permission base class,"As a developer, I want a DRF permission class that ties view access to a Django permission code so that I can reuse Django auth for API security.",Permission subclasses IsAuthenticated. Subclasses define PERM_CODE and optionally PRIVATE. has_permission returns True if user is authenticated and (PRIVATE is False and method is safe) or user has the permission. Logs denials.,Implemented + Tested,apibase/permissions.py,tests/test_permissions.py,Pass,
Permissions,PER-002,Safe method helper,"As a developer, I want a helper that tells me whether the current request is read-only.","is_safe_method(request) returns True when request.method is in DRF SAFE_METHODS (GET, HEAD, OPTIONS).",Implemented + Tested,apibase/permissions.py,tests/test_permissions.py,Pass,
Permissions,PER-003,GraphQL permission decorator (class-based),"As a GraphQL developer, I want to guard resolver methods with a permission check so that unauthorized users receive null instead of data.","Permission.has(func) is a class-method decorator that wraps a resolver. If check_info fails, returns None; otherwise calls the resolver.",Implemented + Tested,apibase/permissions.py,tests/test_permissions.py,Pass,
Permissions,PER-004,GraphQL permission decorator (explicit code),"As a GraphQL developer, I want to guard a resolver with an arbitrary Django permission string.","has_perms(func, permission) wraps a resolver and returns None if info.context.user lacks the permission.",Implemented + Tested,apibase/permissions.py,tests/test_permissions.py,Pass,
Permissions,PER-005,GraphQL queryset permission helper,"As a GraphQL developer, I want to decide whether to return a full queryset based on privacy settings and user privileges.","Permission.has_query_permission returns True if PRIVATE is False and the request method is safe (method='GET'), or if the user has the permission. is_staff is not a bypass; superusers are granted only via Django's has_perm.",Implemented + Tested,apibase/permissions.py,tests/test_permissions.py,Pass,
Permissions,PER-006,Core can authorization predicate,"As a developer, I want a single function to decide whether a user can perform an action so that REST and GraphQL permissions behave consistently.","can(user, perm, *, method=None, private=True) returns False when user is None. If private is False and method is a safe method, returns True. Otherwise delegates to user.has_perm(perm).",Implemented + Tested,apibase/permissions.py,tests/test_permissions.py,Pass,
Serializers,SER-001,EndpointField,"As an API consumer, I want each serialized resource to include its own REST detail URL so that I can navigate the API.","EndpointField is read-only with source='*'. It calls identity.endpoint(instance), optionally following attr_name for related objects, and builds an absolute URL when a request is in the serializer context. Empty endpoint path is mapped to None.",Implemented + Tested,"apibase/serializers.py, apibase/identity.py",tests/test_identity_characterization.py,Pass,
Serializers,SER-002,UrnField,"As an API consumer, I want each serialized resource to include its URN so that I can use cross-service identifiers.","UrnField is read-only with source='*'. Returns identity.urn(instance) or, via attr_name, the URN of a related object.",Implemented + Tested,"apibase/serializers.py, apibase/identity.py",tests/test_identity_characterization.py,Pass,
Serializers,SER-003,DisplayField,"As an API consumer, I want a human-readable string for each resource and related resource.",DisplayField is read-only with source='*'. Returns identity.display(instance) or str(related_object) when attr_name is set.,Implemented + Tested,"apibase/serializers.py, apibase/identity.py",tests/test_identity_characterization.py,Pass,
Serializers,SER-004,BaseModelSerializer auto fields,"As a developer, I want a ModelSerializer that automatically adds id, endpoint, urn, and display fields.","BaseModelSerializer declares id as IntegerField(required=False), endpoint as EndpointField, urn as UrnField, display as DisplayField. These are available unless explicitly excluded.",Implemented + Tested + Documented,"apibase/serializers.py, apibase/identity.py",tests/test_nested_orphan_delete.py; tests/test_identity_characterization.py,Partial (some tests failing),
Serializers,SER-005,Nested child create/update,"As an API consumer, I want to create or update a parent and its children in a single request so that I can reduce API round trips.","BaseModelSerializer.nested_fields lists child field names. During create/update, scalar fields are saved first, then each nested field's child serializer receives the parent FK (or generic-relation defaults) and calls update_or_create for each child dict. Supports reverse FK and GenericRelation; OneToOneRel is wrapped in a single-item list.",Implemented + Tested + Documented,"apibase/serializers.py, apibase/identity.py",tests/test_nested_orphan_delete.py,Fail,Tests currently fail in this environment due to missing tests_parent table (pytest-django harness issue).
Serializers,SER-006,Nested orphan delete,"As an API consumer, when I update a parent I want unlisted children to be deleted so that the child list exactly matches my payload.","NestedOrphanDeleteMixin, placed before BaseModelSerializer, deletes existing children not present in the saved result when the field is listed in nested_fields_orphan_delete and was explicitly present in the payload. Field absence preserves existing children. OneToOneRel raises NotImplementedError.",Implemented + Tested + Documented,apibase/serializers.py,tests/test_nested_orphan_delete.py,Fail,Tests currently fail in this environment due to missing tests_parent table (pytest-django harness issue).
Serializers,SER-007,Nested fields updated signal,"As a developer, I want to dispatch a Django signal after nested children are processed so that other code can react to the change.","BaseModelSerializer.nested_fields_updateds_signal, if set, is sent with sender=model and instance=instance after all nested fields are processed.",Implemented,apibase/serializers.py,None,No tests,Untested and undocumented; high regression risk.
Serializers,SER-008,Action handlers,"As a developer, I want to run action-specific validation and save hooks based on the current ViewSet action.","BaseModelSerializer.action_handlers maps action names (or '*' wildcard) to Action subclasses. On __init__, handlers are instantiated. is_valid calls _validate_for_action; save calls _save_for_action. If no handler matches, save forwards **kwargs to DRF's normal save.",Implemented + Documented,"apibase/serializers.py, apibase/actions.py",None,No tests,Untested.
Serializers,SER-009,update_or_create helper,"As a developer, I want to create or update a model instance directly from a serializer class.","BaseModelSerializer.update_or_create fetches by id, instantiates the serializer with optional partial/context, validates, saves, and returns the instance.",Implemented + Documented,apibase/serializers.py,tests/test_nested_orphan_delete.py (indirectly via nested create/update),Unknown,
Serializers,SER-010,QueryDict nested field support,"As an API consumer submitting form-encoded or multipart data, I want nested child lists to be handled correctly.",BaseModelSerializer.run_validation detects QueryDict input and copies nested_field keys into _children_set while passing the rest to normal validation.,Implemented,apibase/serializers.py,None,No tests,
Serializers,SER-011,Context accessors,"As a developer, I want convenient access to the current view action and request user inside serializer methods.",BaseModelSerializer.view_action returns context.view.action; request_user returns context.request.user.,Implemented + Documented,apibase/serializers.py,None,No tests,
Serializers,SER-012,patch_result customization hook,"As a developer, I want to mutate the serialized output for special cases without overriding to_representation entirely.","If the serializer defines patch_result(instance, data), BaseModelSerializer.to_representation calls it with the serialized dict and uses the result.",Implemented + Documented,apibase/serializers.py,None,No tests,
Serializers,SER-013,UrnModelSerializer alias,"As a developer, I want a legacy alias serializer that explicitly redeclares the URN field.",UrnModelSerializer subclasses BaseModelSerializer and redeclares urn = UrnField(). Functionally equivalent to BaseModelSerializer.,Implemented,apibase/serializers.py,None,No tests,Legacy alias; untested.
Serializers,SER-014,BatchSerializerMixin,"As a developer, I want batch update serializers to preserve the lookup id during internal value conversion.",BatchSerializerMixin.to_internal_value preserves the id attribute (or Meta.update_lookup_field) when the serializer is a child of BatchListSerializer and the request method is PUT/PATCH.,Implemented + Documented,apibase/serializers.py,tests/test_batch.py,Pass,
Serializers,SER-015,BatchListSerializer bulk update,"As an API consumer, I want to update many records in one PATCH request keyed by id.","BatchListSerializer.update maps incoming data by update_lookup_field (default 'id'), validates that all IDs exist in the queryset, then calls child.update for each matched instance. Raises ValidationError if IDs are missing or invalid.",Implemented + Documented,apibase/serializers.py,tests/test_batch.py,Pass,
Actions,ACT-001,Action hook base class,"As a developer, I want a small reusable object to implement per-action validation, save, delete, and signal dispatch.","Action receives the serializer in __init__. save(saving) calls saving.save() then dispatch(). delete(deleting) calls deleting.delete(). validate() is a no-op by default. dispatch() sends the configured signal with sender, instance, action, and extra fields.",Implemented + Documented,apibase/actions.py,None,No tests,Untested.
Filters,FIL-001,BaseFilter built-in id filters,"As an API consumer, I want to filter by primary key using common predicates without declaring them manually.","BaseFilter provides pk alias, id__includes, id__excludes, id__in_csv, and id__not_in_csv on top of standard django-filter behavior.",Implemented + Documented,apibase/filters.py,tests/test_filters.py,Pass,
Filters,FIL-002,IntFilter for integer choices,"As an API consumer, I want choice filters backed by integer fields to coerce values to integers.",BaseFilter.filter_for_lookup swaps auto-generated ChoiceFilters for IntFilter when lookup_type='exact' and the underlying field is an IntegerField. IntFilter uses forms.IntegerField internally.,Implemented + Documented,apibase/filters.py,None,No tests,
Filters,FIL-003,WordFilter Japanese-aware search,"As an API consumer searching in Japanese, I want keywords to match regardless of full-width/half-width differences.","WordFilter splits input on delimiters (default '[\s\u3000,]+'), then for each token builds an OR query across lookups using both zen2han and han2zen forms via jaconv, ANDing tokens. Empty value returns queryset unchanged. Honors distinct.",Implemented + Documented,apibase/filters.py,tests/test_filters.py,Pass,
Filters,FIL-004,ListCharInFilter,"As an API consumer, I want to filter by a comma-separated list of strings using the '__in' predicate.",ListCharInFilter accepts a list of strings and applies field_name__in. Backed by ListCharField with SelectMultiple widget.,Implemented + Documented,"apibase/filters.py, apibase/fields.py",None,No tests,
Filters,FIL-005,ListIntegerInFilter,"As an API consumer, I want to filter by a comma-separated list of integers.",ListIntegerInFilter converts input values to integers and applies field_name__in. Backed by ListIntegerField.,Implemented + Documented,"apibase/filters.py, apibase/fields.py",None,No tests,
Filters,FIL-006,CharRangeFilter,"As an API consumer, I want to filter strings within an inclusive range.",CharRangeFilter applies gte/lte lookups. Skips filtering when both start and stop are empty. Backed by CharRangeField/CharRangeWidget with suffixes 'after'/'before'.,Implemented + Documented,"apibase/filters.py, apibase/fields.py",None,No tests,
Filters,FIL-007,MonthFromToRangeFilter,"As an API consumer, I want to filter records by YYYYMM month ranges.","MonthFromToRangeFilter compresses ['YYYYMM','YYYYMM'] into a slice spanning the start of the first month to the last day of the second month. Backed by MonthRangeField.",Implemented + Documented,"apibase/filters.py, apibase/fields.py",None,No tests,
Filters,FIL-008,AllValuesMultipleFilter,"As an API consumer, I want a multiple-choice filter populated from distinct values already present in the database.",AllValuesMultipleFilter builds choices from the model's distinct values for the field and filters with field_name__in.,Implemented + Documented,apibase/filters.py,None,No tests,
Filters,FIL-009,clone_filter_fields,"As a developer, I want to reuse an existing FilterSet's fields under a related-name prefix.","clone_filter_fields clones declared and base filters of a filterset, prefixing field_name and lookups (for WordFilter). Useful for building cross-model filters.",Implemented + Documented,apibase/filters.py,None,No tests,
Filters,FIL-010,make_related_filterset,"As a developer, I want to dynamically compose a new FilterSet from multiple related FilterSets.","make_related_filterset(type_name, distinct=True, **related_filters) creates a new FilterSet subclass by cloning each related filterset with its related-name prefix.",Implemented + Documented,apibase/filters.py,None,No tests,
Filters,FIL-011,RelatedFilterSetMixin,"As a developer, I want a FilterSet to be able to create a prefixed clone of itself for a related path.","RelatedFilterSetMixin.adds create_related_filterset(cls, related_name) that returns a cloned filterset with field names prefixed by related_name__.",Implemented + Documented,apibase/filters.py,None,No tests,
Form Fields,FRM-001,ListCharField,"As a developer, I want a form field that normalizes comma-separated or multiple string input into a list.","ListCharField validates that input is list/tuple, converts each item with str, and returns [] for empty input. Uses SelectMultiple widget.",Implemented,apibase/fields.py,tests/test_fields.py,Pass,
Form Fields,FRM-002,ListIntegerField,"As a developer, I want a form field that normalizes multiple integer input into a list of ints.",ListIntegerField validates list/tuple input and converts each item with int. Empty input returns []. Uses SelectMultiple widget.,Implemented,apibase/fields.py,tests/test_fields.py,Pass,
Form Fields,FRM-003,CharRangeField / CharRangeWidget,"As a developer, I want a form field for string ranges with after/before suffixes.",CharRangeField is composed of two CharFields. CharRangeWidget normalizes list-wrapped values and uses suffixes 'after'/'before'.,Implemented,apibase/fields.py,tests/test_fields.py,Pass,
Form Fields,FRM-004,MonthRangeField,"As a developer, I want a form field that turns YYYYMM start/end into a month slice.","MonthRangeField extends CharRangeField; compress() returns slice(start_of_month, end_of_last_day_of_month). Registered as String in GraphQL converters.",Implemented,apibase/fields.py,tests/test_fields.py,Pass,
ViewSets,VWS-001,BaseModelViewSet CRUD + batch,"As an API consumer, I want a single ViewSet to support standard DRF CRUD plus batch create/update and file download.","BaseModelViewSet combines ModelViewSet, ViewSetMixin, and DownloadMixin. Uses Pagination by default. Provides batch_create and batch_update actions.",Implemented + Documented,apibase/viewsets.py,None,No tests,No dedicated viewset tests.
ViewSets,VWS-002,Batch create endpoint,"As an API consumer, I want to create multiple records with one POST to a batch endpoint.","POST /{basename}/batch_create/ accepts a list, validates with many=True, calls perform_create, and returns 201 CREATED with serialized results and success headers. GET falls back to list.",Implemented + Documented,apibase/viewsets.py,None,No tests,
ViewSets,VWS-003,Batch update endpoint,"As an API consumer, I want to update multiple records with one PATCH to a batch endpoint.","PATCH /{basename}/batch_update/ accepts a list keyed by id, validates against the filtered queryset with many=True and partial=True, calls perform_update, and returns serialized results. GET falls back to list. Queryset filtering (e.g. ?category=A) limits the update scope.",Implemented + Documented,apibase/viewsets.py,tests/test_batch.py,Pass,
ViewSets,VWS-004,FileField detail download,"As an API consumer, I want to download a file stored in a model's FileField by record id and field name.","GET /{basename}/{pk}/{field}/download/ calls get_object(), resolves the file attribute, and serves it with Content-Disposition. Customizable via get_download_filefield_name and create_download_filefield_response.",Implemented + Tested + Documented,apibase/viewsets.py,tests/test_download_mixin.py,Pass,
ViewSets,VWS-005,Storage path file download,"As an API consumer, I want to download a file given its storage path without knowing the record id.","GET /{basename}/{STORAGE_PREFIX}/{field}/{name}.{format} resolves the instance via LocalPathResolver.find(model, field, path) and serves the file with Content-Disposition.",Implemented + Documented,"apibase/viewsets.py, apibase/storages.py",None,No tests,
ViewSets,VWS-006,CSV export with pagination bypass,"As an API consumer, I want to export the full queryset as CSV without pagination.","When HTTP_ACCEPT is 'text/csv', BaseModelViewSet.paginate_queryset returns None. get_renderer_context forces utf-8-sig encoding, builds header from fields_query (class attribute default None; request ?fields_query=col1,col2 overrides), and labels from serializer field labels.",Implemented + Documented,"apibase/viewsets.py, apibase/renderers.py",None,No tests,
ViewSets,VWS-007,ViewSetMixin.permissions discovery,"As a developer, I want to introspect a ViewSet to discover the Django Permission objects it requires.","ViewSetMixin.permissions() iterates permission_classes, filters for apibase.permissions.Permission subclasses with a PERM_CODE, and returns matching Django Permission queryset results (first per class).",Implemented + Documented,apibase/viewsets.py,None,No tests,
ViewSets,VWS-008,ViewSetMixin.is_safe_method,"As a developer, I want to branch logic inside a ViewSet based on whether the request is safe.",is_safe_method property returns permissions.is_safe_method(self.request).,Implemented + Documented,apibase/viewsets.py,None,No tests,
ViewSets,VWS-009,static_serve helper,"As a developer, I want a thin wrapper around Django's static serve that optionally adds Content-Disposition.","static_serve calls django.views.static.serve and, if name is given, sets Content-Disposition using utils.to_content_disposition. document_root defaults to '/'.",Implemented + Documented,apibase/viewsets.py,None,No tests,
Routers,RTR-001,DefaultRouter basename generation,"As a developer, I want a DRF router that produces predictable 'api-{app_label}-{model_name}' basenames.",DefaultRouter.get_default_basename returns 'api-{app_label}-{model_name}' when queryset is present; otherwise falls back to module/viewset name with 'viewset' stripped. Also accepts an optional root_view_name kwarg.,Implemented,apibase/routers.py,None,No tests,
Pagination,PAG-001,Pagination page-number response,"As an API consumer, I want paginated list responses that include count, page range, current page, next/previous, and results.","Pagination subclasses PageNumberPagination with page_size=16, max_page_size=200, page_size_query_param='page_size'. Response includes count, page_range, current_page, next, previous, results.",Implemented + Documented,apibase/paginations.py,None,No tests,
Renderers,REN-001,CSV / TSV / binary renderers,"As an API consumer, I want to request resources in CSV, TSV, PDF, XLSX, or ZIP formats.","CsvRenderer subclasses rest_framework_csv.CSVRenderer. BinaryRenderer returns data unchanged; PdfRenderer, XlsxRenderer, ZipballRenderer subclass it for their media types. TsvRenderer handles text/tab-separated-values. BrowsableAPIRendererWithoutForms suppresses HTML forms.",Implemented + Documented,apibase/renderers.py,None,No tests,
Renderers,REN-002,RENDERERS tuple,"As a developer, I want a convenient tuple of all apibase renderers to add to DRF settings.",RENDERERS combines api_settings.DEFAULT_RENDERER_CLASSES with the apibase custom renderers.,Implemented,apibase/renderers.py,None,No tests,
URLs,URL-001,endpoint reverse helper,"As a developer, I want to reverse a DRF action URL for a model instance or class.","endpoint(instance_or_model, action, **params) reverses 'api-{app_label}-{model_name}-{action}' (underscores in action become dashes). Adds pk kwarg automatically when the instance has a truthy id.",Implemented,apibase/urls.py,None,No tests,
URLs,URL-002,absolute_path helper,"As a developer, I want to turn a relative path into an absolute URL using the current request or site.","absolute_path(path, request=None) builds an absolute URL from request when provided; otherwise uses django.contrib.sites Site.objects.get_current() and https.",Implemented,apibase/urls.py,tests/test_identity_characterization.py,Pass,
URLs,URL-003,endpoint_url helper,"As a developer, I want a single call that reverses a model action URL and makes it absolute.",endpoint_url combines endpoint() and absolute_path().,Implemented,apibase/urls.py,None,No tests,
Requests,REQ-001,create_request factory,"As a developer writing tests or scripts, I want to build a WSGIRequest with a user and query params.","create_request(url='/', user=None, params=None, site=None) parses scheme/host/port/path/query, defaults to AnonymousUser, merges params into environ, and falls back to example.com if sites framework is unavailable.",Implemented,apibase/requests.py,None,No tests,
Storage,STO-001,LocalPathResolver upload-to resolver,"As a developer, I want deterministic storage paths based on date, ULID, content type, field name, and access prefix.","LocalPathResolver.__call__(instance, filename) returns construct_filename(..., create_path(filename, instance)). create_path builds 'YYYY-MM-DD/<ulid>.<ext>'. resolve_content_type uses ContentType.objects.get_for_model(instance) (or instance.content_type when RESOLVE_CONTNT_TYPE is True).",Implemented + Documented,apibase/storages.py,None,No tests,
Storage,STO-002,LocalPathResolver.find instance lookup,"As a developer, I want to find a model instance from a stored file path.","LocalPathResolver.find(model_class, field_name, path) looks up the field's upload-to resolver and calls find_instance, which finds the first instance whose constructed filename matches the stored file path.",Implemented + Documented,apibase/storages.py,None,No tests,
Archives,ARC-001,Zipball in-memory archive builder,"As a developer, I want to build ZIP archives in memory and output them to streams, files, or Django ContentFile.",Zipball.append adds files with ZIP_DEFLATED and create_system=0. read() returns bytes; write_to(stream) writes to a file-like object; write_to_file saves to disk; to_contentfile returns ContentFile.,Implemented + Documented,apibase/archives.py,None,No tests,
Archives,ARC-002,ModelZipball queryset JSON export,"As a developer, I want to serialize querysets to JSON files inside a ZIP archive.",ModelZipball.append_query(queryset) serializes the queryset and stores it as '{app_label}.{model_name}.json' in the archive.,Implemented + Documented,apibase/archives.py,None,No tests,
Views,VIE-001,DRFAuthenticatedGraphQLView,"As a developer, I want a GraphQL view that uses DRF authentication and permissions.","DRFAuthenticatedGraphQLView wraps graphene_django.views.GraphQLView with DRF IsAuthenticated, default auth classes, and api_view(['GET','POST']). parse_body returns request.data for DRF Requests; otherwise falls back to Graphene parsing.",Implemented + Documented,apibase/views.py,None,No tests,
Views,VIE-002,SDL schema view,"As a developer, I want an authenticated endpoint that returns the GraphQL schema as SDL.",sdl(request) returns the GraphQL schema printed as SDL with text/plain content type. Requires DRF authentication via _decorate.,Implemented + Documented,apibase/views.py,None,No tests,
Views,VIE-003,DRFGraphQLView backward-compatibility alias,"As a downstream developer with legacy imports, I want the old DRFGraphQLView name to keep working.",DRFGraphQLView is an alias for DRFAuthenticatedGraphQLView.,Implemented + Documented,apibase/views.py,None,No tests,
OpenAPI,OAS-001,Optional drf-spectacular compatibility shim,"As a developer, I want apibase modules to import and use drf-spectacular decorators even when the package is not installed, so that the library has an optional OpenAPI dependency.","When drf_spectacular is installed, re-exports extend_schema, extend_schema_field, OpenApiParameter, OpenApiTypes. When absent, provides no-op decorators and stub classes (OpenApiTypes.URI/STR = None, OpenApiParameter.PATH = 'path').",Implemented + Tested,"apibase/_spectacular.py, apibase/serializers.py, apibase/viewsets.py",tests/test_spectacular_adapter.py,Pass,
GraphQL Core,GQL-001,default_resolver patch hook,"As a developer, I want to post-process resolved field values on a per-type basis without writing explicit resolvers.","default_resolver wraps the stock graphene resolver. After lookup, if the parent type exposes patch_result(res, attname, default_value, root, info, **args), it returns the patched value.",Implemented + Tested,apibase/schema.py,tests/test_identity_characterization.py,Pass,
GraphQL Core,GQL-002,BaseSerializerMutation Relay id decoding,"As a developer, I want SerializerMutation to accept a Relay client_mutation_id and decode it into the model's primary key.",BaseSerializerMutation.get_serializer_kwargs uses from_global_id on client_mutation_id (when it is a string) and writes the decoded database id into input['id'].,Implemented,apibase/schema.py,None,No tests,Abstract Meta; concrete mutations must subclass.
GraphQL Core,GQL-003,NodeMixin field resolvers,"As a GraphQL consumer, I want Node types to expose pk, endpoint, urn, and display fields automatically.","NodeMixin provides resolve_pk, resolve_endpoint (absolute when build_absolute_uri exists), resolve_urn, resolve_display, and get_node (fetches by pk via get_queryset).",Implemented + Tested + Documented,"apibase/graphql/mixins.py, apibase/identity.py",tests/test_identity_characterization.py,Pass,
GraphQL Core,GQL-004,SummaryMixin connection aggregates,"As a GraphQL consumer, I want paginated connections to expose total_count, records count, and an optional summary payload.","SummaryMixin provides resolve_total_count (self.length), resolve_records (order_by('id').distinct().count() for querysets), and resolve_summary (calls queryset.summary() and encodes with JSONEncode).",Implemented,apibase/graphql/mixins.py,None,No tests,Untested.
GraphQL Core,GQL-005,FilteringConnection,"As a developer, I want a Relay connection class that combines connection fields with summary aggregates.",FilteringConnection subclasses graphene.relay.Connection and SummaryMixin. It is dynamically named '{prefix}{Node}NodeSetConnection' by NodeSet.,Implemented,apibase/graphql/connections.py,None,No tests,
GraphQL Fields,GQF-001,NodeSet filter connection field,"As a GraphQL consumer, I want a connection field that auto-generates filter arguments from a django-filter FilterSet and applies conditional distinct().","NodeSet extends DjangoFilterConnectionField. filtering_args uses utils.get_filtering_args_from_filterset with IntFilter as obvious filter. resolve_queryset applies .distinct() only when a filter has distinct=True or traverses M2M/reverse-FK, or the queryset itself has duplicating joins. Sets has_previous_page based on start offset.",Implemented + Tested + Documented,"apibase/graphql/fields.py, apibase/graphql/connections.py",apibase/graphql/tests/test_distinct.py,Pass,
GraphQL Fields,GQF-002,Distinct decision helpers,"As a developer, I want the library to avoid unnecessary .distinct() calls while still removing duplicates from M2M/reverse-FK filters.",_filter_needs_distinct checks filter.distinct and relation traversal. _queryset_has_duplicating_joins inspects alias_map for M2M/reverse-FK joins and conservatively returns True on error. _needs_distinct orchestrates both and only considers filters present in args.,Implemented + Tested,apibase/graphql/fields.py,apibase/graphql/tests/test_distinct.py,Pass,
GraphQL Fields,GQF-003,NodeSet name_prefix connection naming,"As a developer, I want to reuse the same node type in multiple NodeSet fields without GraphQL type-name collisions.",NodeSet accepts name_prefix kwarg; generated connection type is named '{prefix}{Type}NodeSetConnection'.,Implemented,apibase/graphql/fields.py,None,No tests,
GraphQL Encoders,GQE-001,JSONEncode Decimal support,"As a developer, I want to serialize GraphQL data to JSON with Decimal values as floats.",JSONEncode subclasses DjangoJSONEncoder and converts decimal.Decimal to float; all other types fall back to DjangoJSONEncoder.,Implemented + Documented,apibase/graphql/encoders.py,tests/test_encoders.py,Pass,
